name,F1_rxnormId,F2_rxcui,F2_name,F2_synonym,F2_tty,F3_status,F3_rxcui,F3_ndc,F3_startDate,F3_endDate,Brand Name
exenatide,60548,1242968,exenatide 2 MG Injection [Bydureon],Bydureon 2 MG Injection,SBD,direct,1242968,310652004,201503,202201,Bydureon
exenatide,60548,1242968,exenatide 2 MG Injection [Bydureon],Bydureon 2 MG Injection,SBD,direct,1242968,66780021902,201203,201802,Bydureon
exenatide,60548,1242968,exenatide 2 MG Injection [Bydureon],Bydureon 2 MG Injection,SBD,direct,1242968,66780021904,201202,201802,Bydureon
exenatide,60548,1242968,exenatide 2 MG Injection [Bydureon],Bydureon 2 MG Injection,SBD,direct,1242968,66780022601,201203,202312,Bydureon
exenatide,60548,1990869,0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon],0.85 ML Bydureon 2.35 MG/ML Auto-Injector,SBD,direct,1990869,310654001,201801,202503,Bydureon
exenatide,60548,1990869,0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon],0.85 ML Bydureon 2.35 MG/ML Auto-Injector,SBD,direct,1990869,310654004,201801,202503,Bydureon
exenatide,60548,1990869,0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon],0.85 ML Bydureon 2.35 MG/ML Auto-Injector,SBD,direct,1990869,310654085,201801,202503,Bydureon
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,2021008,200905,201011,Byetta
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,310652401,201501,202503,Byetta
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,54868538401,200905,201907,Byetta
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,66029021008,200905,201206,Byetta
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,66780021008,200905,201212,Byetta
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,66780021201,200912,201712,Byetta
exenatide,60548,847913,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],"Byetta 250 MCG/ML Pen Injector, 2.4 ML",SBD,direct,847913,66914103505,200905,201206,Byetta
